╔══════════════════════════════════════════════════════════════╗
║          THE SEED — MARKET EVOLUTION ENGINE                  ║
║  Config: market-config.paper.json                          ║
║  Mode: Paper                                               ║
║  Capital: $10,000                                          ║
║  Population: 50                                            ║
╚══════════════════════════════════════════════════════════════╝

[PAPER] Starting paper trading with live data...
[PAPER] Loading genome from: output_phase5/best_market_genome.json
[PAPER] Genome loaded: 2d4bc127-0090-4524-a73e-8818488b0a2c
[PAPER]   CPPN nodes: 25, connections: 87
[PAPER] Compiling brain...
[PAPER] Brain compiled: 477 neurons, 879 synapses
[PAPER] Connecting to live data feeds...
[PAPER] Trade log: output_paper\trades.jsonl
[PAPER] Brain decisions run every 15m (matching training regime).
[PAPER] Stop-loss: 2.0% per position
[PAPER] Paper trading active. Press Ctrl+C to stop.

Feed          Price    Pos       Entry   Unrl%    Net P&L       Equity  Trades    WR  Exit  ExitRaw  rSharpe    rDD  Elapsed
──────────────────────────────────────────────────────────────────────────────────────────────────────────────
[CoinglassFeed] Warnings: Exchange balance fetch failed: The requested operation requires an element of type 'Object', but the target element has type 'Array'.
  [BRAIN] Decision #0 (every 15m) at 14:12:37 UTC | price $75,486.09
114     $ 75,686.20   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:10
116     $ 75,682.89   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:10
118     $ 75,680.12   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:10
120     $ 75,707.02   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:10
122     $ 75,714.60   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:10
124     $ 75,714.61   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:11
126     $ 75,722.64   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:11
128     $ 75,724.94   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:11
130     $ 75,692.36   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:11
132     $ 75,682.71   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:11
134     $ 75,619.91   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:11
136     $ 75,588.33   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:12
138     $ 75,593.89   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:12
140     $ 75,612.08   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:12
142     $ 75,653.71   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:12
144     $ 75,657.21   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:12
146     $ 75,619.00   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:13
148     $ 75,630.97   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:13
150     $ 75,622.16   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:13
152     $ 75,656.40   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:13
154     $ 75,700.00   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:13
156     $ 75,690.00   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:13
158     $ 75,724.78   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:14
160     $ 75,788.98   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:14
162     $ 75,792.91   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:14
164     $ 75,791.75   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:14
166     $ 75,827.14   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:14
168     $ 75,811.74   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:14
170     $ 75,841.49   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:15
172     $ 75,743.50   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:15
174     $ 75,764.53   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:15
176     $ 75,774.87   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:15
178     $ 75,756.00   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:15
180     $ 75,744.24   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:16
182     $ 75,849.96   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:16
184     $ 75,812.96   FLAT         ---              0.00 $ 10,000.00       0   0%         0.5000     0.00  0.0%     0:16
